model,method,fidelity_mean,fidelity_std,stability_mean,stability_std,sparsity_mean,sparsity_std
swin_tiny,gradcam,0.008259837826093039,0.09953140931221208,0.9739024612232726,0.02878299728378481,0.19646381830124893,0.014574004343671627
swin_tiny,lime,0.24884085221724075,0.39430515015531514,0.33604464381036,0.14224502343089987,0.47236267310834895,0.08190961350038052
swin_tiny,shap,0.09913160900274913,0.3024757017396809,0.64163871366618,0.22744073740834558,0.4748827560808244,0.10757016258633093
vgg16_bn,gradcam,0.28522516290346783,0.41312727342963473,0.5765827097507403,0.2307531147853599,0.21166446163185082,0.14455133137045711
vgg16_bn,lime,0.36200812127855087,0.37362334068711095,0.2969278211786163,0.17472451879248999,0.38043737366474817,0.08891986388624915
vgg16_bn,shap,0.3906661222378413,0.41847634078309576,0.38325348565353723,0.2145835546588849,0.47493589979720446,0.1953044281807182
vit_small,gradcam,0.02501043677330017,0.07348950086287187,1.0,0.0,1.0044843049327354,0.0
vit_small,lime,0.3248174885908763,0.36054687724610857,0.40468294313259107,0.09909242932945114,0.47113391613021466,0.0857315173766053
vit_small,shap,0.3212699095408122,0.43146919388701943,0.733848182351784,0.178882829304615,0.42134317899710566,0.14301405044291202
